Row Labels,Africa,Antarctica and Oceania (including Australasia) and Other,British Overseas,Europe: EU countries: All other EU countries,Europe: EU countries: European Union EU14,Europe: EU countries: European Union EU2,Europe: EU countries: European Union EU8,Europe: Non-EU countries: All other non-EU countries,Europe: United Kingdom,Middle East and Asia,The Americas and the Caribbean,TotalOri
E00073317,1,0,0,0,9,0,15,0,258,0,4,287
E00073318,3,0,0,4,10,0,7,1,346,5,0,376
E00073319,12,0,0,0,9,3,12,8,402,7,4,457
E00073320,2,0,0,0,7,0,5,2,339,8,3,366
E00073321,5,0,0,1,10,2,19,1,256,13,3,310
E00073322,2,0,0,1,6,0,0,0,311,2,0,322
E00073323,6,3,0,0,4,0,0,0,259,2,0,274
E00073324,5,2,0,1,4,4,2,1,350,6,0,375
E00073325,0,0,0,0,14,0,15,0,335,7,3,374
E00073326,0,0,0,0,5,2,6,0,276,5,4,298
E00073327,7,1,0,0,8,0,9,1,327,1,2,356
E00073328,7,0,0,0,9,0,5,1,329,4,4,359
E00073329,4,1,0,1,0,0,0,0,287,4,1,298
E00073330,13,0,0,0,8,1,9,2,356,1,0,390
E00073331,0,0,0,0,8,0,7,1,418,9,0,443
E00073332,0,2,0,0,4,0,4,0,284,2,1,297
E00073333,0,1,0,1,5,0,2,0,280,3,0,292
E00073334,4,2,0,0,3,0,6,0,303,3,0,321
E00073335,5,0,0,0,7,3,12,0,402,5,6,440
E00073336,0,0,0,0,9,4,2,5,273,12,5,310
E00073337,9,1,0,0,5,6,8,0,298,4,3,334
E00073338,1,0,0,0,8,0,8,1,249,6,0,273
E00073339,6,3,0,0,16,14,25,3,207,8,11,293
E00073340,7,2,0,0,4,2,16,1,206,6,7,251
E00073341,7,0,0,0,5,8,17,1,248,6,0,292
E00073342,6,2,0,0,10,6,12,0,365,7,6,414
E00073343,5,1,0,0,6,2,15,0,341,7,2,379
E00073344,5,1,0,1,9,0,32,1,195,3,1,248
E00073345,0,0,0,2,1,0,9,1,152,7,2,174
E00073346,7,2,0,1,0,4,16,0,309,6,5,350
E00073347,7,0,0,1,7,1,10,3,147,9,1,186
E00073348,0,1,0,0,5,4,31,3,218,4,5,271
E00073349,8,0,0,0,3,9,15,5,270,16,9,335
E00073350,10,1,0,0,13,5,12,0,306,7,6,360
E00073351,21,1,0,0,3,0,11,0,311,12,9,368
E00073352,13,0,0,0,5,1,11,7,224,7,9,277
E00073353,4,0,1,0,13,0,6,1,319,7,9,360
E00073354,11,0,0,0,11,1,29,0,264,16,7,339
E00073355,10,1,0,1,7,0,24,0,299,15,7,364
E00073356,5,1,0,1,9,7,13,7,319,22,6,390
E00073357,3,3,0,0,3,0,8,2,299,3,11,332
E00073358,11,0,0,0,10,3,12,4,290,13,1,344
E00073359,4,3,0,0,8,6,12,1,293,7,2,336
E00073360,7,1,0,0,2,3,18,1,238,5,0,275
