Row Labels,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations,TotalOcT
E00073933,6,13,8,9,11,9,6,10,16,88
E00073934,17,33,13,8,19,12,8,12,15,137
E00073935,17,18,18,10,27,18,21,6,31,166
E00073936,4,18,7,12,5,10,6,7,18,87
E00073937,11,20,3,15,12,20,10,23,36,150
E00073938,5,7,5,14,5,19,11,10,23,99
E00073939,14,17,7,22,18,28,18,33,35,192
E00073940,4,13,7,7,11,13,7,11,26,99
E00073941,16,22,5,15,10,20,23,20,41,172
E00073942,7,7,0,10,16,20,9,16,28,113
E00073943,8,18,11,15,17,22,7,27,39,164
E00073944,9,8,5,9,4,16,7,15,25,98
E00073945,10,17,15,4,10,13,11,19,40,139
E00073946,9,31,13,8,15,22,13,15,41,167
E00073947,7,6,24,10,12,23,15,22,39,158
E00073948,7,12,7,14,7,15,14,16,29,121
E00073949,3,12,8,0,10,12,7,12,23,87
E00073950,8,6,8,9,10,14,6,21,38,120
E00073951,3,12,3,9,12,18,8,12,23,100
E00073952,8,31,20,11,4,15,5,9,11,114
E00073953,14,17,9,9,13,11,13,16,35,137
E00073954,7,11,8,9,9,17,11,14,19,105
E00073955,39,57,13,14,9,6,9,2,2,151
E00073956,19,51,13,6,7,17,3,8,13,137
E00073957,24,31,16,8,11,8,8,6,9,121
E00073958,17,47,18,17,10,12,8,11,17,157
E00073959,17,70,20,19,15,10,10,9,11,181
E00073960,38,52,14,18,5,3,7,1,2,140
E00073961,9,27,19,12,13,16,17,10,29,152
E00073962,26,41,18,14,9,16,12,11,15,162
E00073963,21,52,29,21,19,21,5,11,16,195
E00073964,10,28,13,15,23,30,21,11,19,170
E00073965,10,22,24,22,24,18,17,13,18,168
E00073966,9,15,12,12,16,11,10,8,23,116
E00073967,27,82,37,16,11,10,10,6,0,199
E00073968,20,75,31,13,14,11,12,5,6,187
E00073969,18,59,40,23,13,8,12,11,25,209
E00073970,25,72,23,17,12,6,7,7,7,176
E00073971,25,80,34,13,7,13,10,3,6,191
E00073972,28,63,32,15,11,4,11,4,21,189
E00073973,25,66,28,17,16,12,7,13,16,200
E00073974,27,79,44,20,19,12,11,11,14,237
E00073975,21,67,24,16,8,18,6,0,13,173
E00073976,22,55,26,16,14,10,8,6,9,166
E00073977,32,83,44,24,17,13,17,6,15,251
E00073978,34,68,29,8,16,9,6,5,11,186
E00073979,33,60,32,6,15,12,11,6,7,182
E00073980,19,41,33,19,21,12,9,10,9,173
E00073981,14,22,16,9,16,20,10,17,29,153
E00073982,21,26,16,15,21,10,7,5,18,139
E00073983,25,53,30,21,19,9,8,10,12,187
E00073984,22,63,38,21,12,15,10,2,8,191
E00073985,14,25,8,15,20,24,8,9,18,141
E00073986,17,53,29,23,14,18,11,10,19,194
E00073987,16,32,26,14,19,20,11,15,19,172
E00073988,11,24,23,15,16,11,21,15,21,157
E00073989,20,30,31,10,25,19,16,22,22,195
E00073990,15,27,24,21,23,25,14,15,30,194
E00073991,27,56,34,14,19,17,22,11,22,222
E00073992,12,24,21,19,27,15,8,14,26,166
E00073993,10,31,17,13,23,16,12,12,33,167
E00073994,14,18,24,14,16,22,16,18,18,160
E00073995,7,29,14,14,22,15,9,24,31,165
E00073996,19,33,28,27,16,21,12,18,19,193
E00073997,7,14,17,12,9,14,8,6,8,95
E00073998,5,12,15,10,31,23,16,13,39,164
E00073999,9,20,11,7,19,26,17,20,27,156
E00074000,15,24,21,19,16,16,8,15,21,155
E00074001,17,41,23,13,11,22,9,10,27,173
E00074002,11,53,20,18,7,10,12,4,18,153
E00074003,13,43,41,22,21,32,20,19,49,260
E00074006,6,12,15,12,8,27,8,18,42,148
E00074007,9,80,26,24,19,10,7,3,10,188
E00074008,6,26,9,13,11,7,12,8,12,104
E00074009,6,24,14,14,12,21,18,16,46,171
E00074010,8,11,16,10,6,37,5,17,47,157
E00074011,9,26,14,6,17,15,9,9,26,131
E00074012,6,18,21,6,10,11,1,10,17,100
E00074013,15,27,30,13,16,18,18,17,27,181
E00074014,19,68,27,9,23,19,12,8,29,214
E00074016,7,21,18,8,12,15,10,20,32,143
E00074018,16,70,42,12,24,30,22,17,21,254
E00074019,5,12,7,0,7,16,17,31,32,127
E00074020,25,59,40,16,26,25,13,14,44,262
E00074021,8,21,9,8,8,18,18,19,32,141
E00074022,26,37,49,9,23,23,10,17,29,223
E00074023,14,28,16,22,28,23,22,15,59,227
E00074024,15,37,20,18,20,20,21,24,36,211
E00074025,12,25,20,10,17,26,21,18,49,198
E00074026,25,45,28,27,22,19,23,21,29,239
E00074027,3,9,11,4,1,15,11,16,35,105
E00074028,11,24,9,11,9,15,16,22,34,151
E00074029,5,11,6,10,13,18,12,29,47,151
E00074030,0,3,0,4,6,10,1,6,22,52
E00074032,0,6,11,3,11,14,6,16,38,105
