Row Labels,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,TotalOcc
E00074197,18,6,44,41,28,20,33,16,15,221
E00074198,16,20,50,62,36,19,42,25,23,293
E00074199,25,19,51,56,35,32,41,31,26,316
E00074200,17,18,31,54,39,32,43,22,21,277
E00074201,28,15,52,68,32,57,61,35,31,379
E00074202,29,27,49,66,47,20,48,27,26,339
E00074203,5,8,40,35,24,6,20,22,15,175
E00074204,29,22,68,66,33,46,69,33,25,391
E00074205,20,15,35,61,28,21,37,29,21,267
E00074206,16,10,38,53,42,33,27,24,14,257
E00074207,13,18,45,62,24,33,40,36,27,298
E00074208,24,17,53,60,28,23,42,26,22,295
E00074209,22,16,40,68,47,41,55,27,33,349
E00074210,7,19,46,65,44,34,27,32,20,294
E00074211,7,14,36,74,36,23,31,23,33,277
E00074212,42,10,24,37,11,11,59,33,37,264
E00074213,46,14,47,43,49,5,97,54,22,377
E00074214,26,15,59,68,24,31,65,29,25,342
E00074215,10,12,48,83,49,21,33,22,26,304
E00074216,15,9,37,75,21,23,30,24,26,260
E00074217,10,23,36,66,34,26,36,31,20,282
E00074218,4,19,31,57,26,14,31,27,20,229
E00074219,19,25,42,51,27,40,59,35,30,328
E00074220,24,22,41,85,33,31,62,33,21,352
E00074221,9,17,36,65,39,25,35,16,16,258
E00074222,20,9,22,22,17,10,47,20,19,186
E00074223,27,9,33,37,7,7,44,47,23,234
E00074224,20,17,31,16,8,12,57,25,19,205
E00074225,39,16,32,31,7,9,67,34,17,252
E00074226,27,10,21,38,10,13,58,39,24,240
E00074227,21,19,37,52,21,17,45,33,20,265
E00074228,75,11,12,12,5,16,100,29,23,283
E00074229,23,18,36,39,34,11,39,28,26,254
E00074230,107,12,15,30,7,30,91,30,34,356
E00074231,71,10,16,17,7,28,69,17,27,262
E00074232,8,7,34,50,40,9,21,12,9,190
E00074233,11,11,24,40,40,12,23,18,16,195
E00074234,64,9,19,22,15,14,48,19,27,237
E00074235,31,9,21,48,35,10,38,26,23,241
E00074236,80,9,17,24,6,15,94,32,22,299
E00074237,107,16,24,31,9,33,102,31,28,381
E00074238,65,15,18,28,19,30,72,31,21,299
E00074240,62,9,30,37,8,36,92,31,32,337
E00074241,95,6,12,16,5,29,81,18,17,279
E00074243,89,9,14,13,6,28,80,34,20,293
E00074244,85,13,24,26,9,10,102,30,27,326
E00074245,79,3,13,14,7,25,66,22,20,249
E00074246,81,7,7,12,8,19,93,24,22,273
E00074247,87,10,20,21,9,20,102,35,33,337
E00074248,77,6,13,6,6,27,83,26,23,267
E00074250,64,7,14,18,6,21,77,18,26,251
E00074251,91,6,16,17,5,15,61,29,18,258
E00074252,70,10,18,7,3,21,60,37,23,249
E00074253,63,13,10,27,11,27,72,30,17,270
E00074254,31,11,22,38,28,26,52,23,14,245
E00074255,4,12,27,46,41,2,11,9,16,168
E00074256,58,12,17,14,8,8,91,25,24,257
E00074257,69,13,16,20,6,15,104,37,24,304
E00074258,112,15,28,26,10,19,138,41,25,414
E00074259,14,11,37,52,32,10,29,19,9,213
E00074260,45,9,22,36,13,12,70,36,24,267
E00074261,70,14,32,24,15,4,73,42,27,301
E00074262,42,12,25,33,15,7,59,49,41,283
E00074263,77,4,16,28,16,40,68,27,30,306
E00074264,87,17,36,29,35,22,106,28,18,378
E00074265,81,10,31,18,6,18,87,33,23,307
E00074266,23,21,39,30,7,9,41,39,36,245
E00074267,32,10,30,34,16,9,56,29,19,235
E00074268,27,17,40,44,15,20,48,34,26,271
E00074269,17,19,32,34,11,8,48,39,34,242
E00074270,24,15,35,20,7,11,55,46,46,259
E00074271,16,23,45,43,30,5,37,41,26,266
E00074272,16,15,45,43,15,8,33,27,15,217
E00074273,17,16,40,58,18,15,42,35,26,267
E00074274,10,15,39,35,26,8,39,25,21,218
E00074275,44,19,35,31,16,18,75,68,45,351
E00074276,12,16,46,51,37,7,43,41,34,287
E00074277,27,19,37,35,10,11,51,47,41,278
E00074278,20,21,38,26,10,9,62,35,23,244
E00074279,54,19,40,38,24,32,69,57,50,383
E00074280,20,12,41,25,12,6,43,44,23,226
E00074281,22,12,24,34,15,4,49,42,20,222
E00074282,27,22,40,34,17,22,53,40,38,293
E00074283,24,25,39,38,15,9,39,48,25,262
E00074284,9,7,29,44,16,5,28,24,22,184
E00074285,20,23,31,41,15,17,40,45,29,261
E00074286,16,11,38,45,17,6,33,23,11,200
E00074287,8,26,47,39,31,6,32,28,13,230
E00074288,34,24,62,54,20,7,62,51,31,345
E00074289,22,15,26,29,16,16,43,36,26,229
E00074290,11,10,49,45,25,11,31,29,9,220
E00074291,14,11,37,41,18,6,29,20,18,194
E00074292,29,20,41,24,9,11,56,49,27,266
E00074293,34,16,50,42,15,10,41,54,31,293
E00074294,15,10,29,50,38,6,19,20,15,202
E00074295,17,20,42,63,21,17,38,33,33,284
E00074296,37,13,25,29,19,15,53,62,34,287
E00074297,53,16,40,37,34,30,76,55,44,385
E00074298,17,24,36,36,26,7,41,23,19,229
E00074299,15,25,43,34,23,18,38,28,14,238
E00074300,33,22,52,28,19,16,72,49,36,327
E00074301,84,5,18,8,12,25,70,26,23,271
E00074302,60,9,30,28,38,26,62,31,25,309
E00074303,66,3,7,5,4,9,62,22,23,201
E00074304,59,4,6,3,8,14,74,22,31,221
E00074306,67,3,9,7,10,9,63,29,27,224
E00074307,95,5,7,7,7,15,72,35,37,280
E00074308,80,6,17,7,4,12,56,25,30,237
E00074309,99,3,8,7,6,25,47,31,33,259
E00074310,81,2,7,6,12,11,68,37,18,242
E00074311,58,3,9,10,11,3,48,15,18,175
E00074312,57,4,5,9,4,17,58,24,20,198
E00074314,92,3,5,9,3,22,58,21,25,238
E00074315,83,3,10,3,7,14,72,20,24,236
E00074316,97,8,13,2,7,10,69,24,18,248
E00074317,88,5,20,4,1,8,68,27,25,246
E00074318,71,2,12,4,14,14,80,34,19,250
E00074319,81,4,9,4,3,25,80,33,36,275
E00074320,96,9,17,11,8,12,65,35,28,281
E00074321,79,6,11,13,8,17,78,24,24,260
E00074322,108,9,13,9,5,17,67,21,26,275
E00074323,103,1,10,7,11,20,56,30,27,265
E00074324,88,6,20,5,4,13,66,21,21,244
E00074325,48,3,6,18,10,10,57,18,21,191
E00074326,60,4,15,6,16,20,60,15,15,211
E00074327,35,3,13,6,7,1,73,30,10,178
E00074328,54,3,21,8,8,14,74,22,22,226
E00074329,99,2,10,5,8,21,59,31,20,255
E00074330,71,7,18,20,22,10,83,61,31,323
E00074331,93,9,19,4,5,63,80,33,11,317
E00074332,77,8,20,10,10,17,76,24,25,267
E00074333,78,6,19,22,47,4,89,40,32,337
E00074334,61,4,18,17,8,12,75,26,17,238
E00074335,71,3,19,11,8,20,62,24,17,235
E00074336,77,8,38,28,15,3,75,44,20,308
E00074337,62,10,15,12,15,8,47,33,18,220
E00074338,79,4,18,4,17,20,72,26,22,262
E00074339,66,2,26,15,18,14,64,19,24,248
E00074340,71,10,20,17,9,12,67,31,24,261
E00074341,58,11,19,14,10,16,74,26,29,257
E00074342,90,4,23,8,21,16,82,40,25,309
E00074343,28,16,18,27,20,10,39,31,11,200
E00074344,38,6,11,18,14,9,58,24,13,191
E00074345,65,3,11,9,10,11,58,20,30,217
E00074346,51,8,9,14,3,11,60,21,37,214
E00074347,73,10,15,8,15,17,71,30,16,255
E00074348,16,14,29,33,23,8,29,18,12,182
E00074349,61,6,21,13,19,10,57,30,22,239
E00074350,53,9,27,14,13,8,63,29,19,235
E00074351,47,10,21,15,13,10,64,34,22,236
E00074352,76,3,9,14,10,10,67,29,22,240
