Row Labels,No second address,Second address is in the UK,Second address is outside the UK,(blank),TotalAdd
E00073312,365,1,0,,366
E00073313,372,9,2,,383
E00073314,275,10,1,,286
E00073315,192,7,1,,200
E00073316,315,9,0,,324
E00073317,281,7,0,,288
E00073318,370,2,1,,373
E00073319,441,14,2,,457
E00073320,359,4,3,,366
E00073321,295,9,3,,307
E00073322,311,11,0,,322
E00073323,260,13,2,,275
E00073324,370,6,0,,376
E00073325,362,11,5,,378
E00073326,294,5,2,,301
E00073327,349,6,2,,357
E00073328,349,10,2,,361
E00073329,292,6,0,,298
E00073330,383,6,2,,391
E00073331,431,10,1,,442
E00073332,280,15,3,,298
E00073333,290,1,2,,293
E00073334,315,4,3,,322
E00073335,422,14,2,,438
E00073336,296,8,4,,308
E00073337,329,4,2,,335
E00073338,266,6,1,,273
E00073339,269,22,2,,293
E00073340,243,5,3,,251
E00073341,284,6,2,,292
E00073342,396,14,2,,412
E00073343,368,7,4,,379
E00073344,235,12,0,,247
E00073345,157,14,3,,174
E00073346,337,11,2,,350
E00073347,180,7,0,,187
E00073348,265,6,1,,272
E00073349,323,5,5,,333
E00073350,346,12,3,,361
E00073351,356,10,0,,366
E00073352,273,1,2,,276
E00073353,347,11,1,,359
E00073354,331,5,3,,339
E00073355,354,8,1,,363
